neighbourhood_cleansed,room_type,pearson_r,sample_size,avg_price_clean,avg_review_scores_rating
St. George,Entire home/apt,0.1663701685916354,12,159.16666666666666,4.850833333333334
St. George,Private room,0.05719625679074356,11,92.45454545454545,4.732727272727273
Stapleton,Private room,0.5178590934805253,10,90.7,4.803
Stuyvesant Town,Entire home/apt,0.41300533352004765,10,230.6,4.551
Sunnyside,Entire home/apt,0.15526620235734137,34,165.97058823529412,4.740588235294117
Sunnyside,Private room,0.07435896465850154,78,86.06410256410257,4.702051282051282
Sunset Park,Entire home/apt,0.4240519421508132,43,193.37209302325581,4.866046511627907
Sunset Park,Private room,0.16806087991384666,90,101.33888888888889,4.796
Theater District,Entire home/apt,-0.0018093419399505724,35,312.2,4.553714285714285
Theater District,Private room,-0.1447284835507369,65,358.3,4.566461538461539
Throgs Neck,Entire home/apt,-0.10590615169195157,10,158.8,4.526999999999999
Tompkinsville,Entire home/apt,0.07585018376499737,19,112.21052631578948,4.801052631578948
Tompkinsville,Private room,0.3563610218915671,17,110.23529411764706,4.8488235294117645
Tribeca,Entire home/apt,0.04399366784130898,24,317.875,4.71375
Tribeca,Private room,-0.07441539985698291,11,340.1818181818182,4.691818181818181
Upper East Side,Entire home/apt,0.071929654884548,555,204.27207207207206,4.6467387387387395
Upper East Side,Private room,0.13637727079420803,56,123.80357142857143,4.639107142857143
Upper West Side,Entire home/apt,-0.0005109603980598394,337,227.4154302670623,4.696290801186943
Upper West Side,Private room,0.12643981369870613,90,174.25,4.66688888888889
Wakefield,Entire home/apt,-0.06468969925513716,12,160.66666666666666,4.815
Wakefield,Private room,0.016452004410515666,28,81.25,4.838928571428572
Washington Heights,Entire home/apt,0.18442191623190557,71,159.09859154929578,4.720281690140845
Washington Heights,Private room,-0.0016671061566503685,113,74.6283185840708,4.535486725663716
West Brighton,Private room,0.11092430054747038,12,66.83333333333333,4.740833333333333
West Village,Entire home/apt,0.049301864994477466,97,276.6185567010309,4.825360824742268
Williamsbridge,Entire home/apt,0.05791476598979261,12,108.41666666666667,4.685833333333334
Williamsbridge,Private room,-0.04426146363497766,15,67.6,4.862666666666667
Williamsburg,Entire home/apt,0.18745473007892013,320,227.5,4.8158125
Williamsburg,Private room,0.1381026668266995,240,129.29583333333332,4.728416666666667
Windsor Terrace,Entire home/apt,0.2748000434954605,27,189.66666666666666,4.87037037037037
Windsor Terrace,Private room,0.6260826052577159,16,152.5,4.886875
Woodhaven,Entire home/apt,0.2888415339062062,14,152.07142857142858,4.775714285714287
Woodhaven,Private room,0.3183814913926541,35,72.51428571428572,4.847428571428571
Woodside,Entire home/apt,0.20458407301862955,27,156.03703703703704,4.728888888888889
Woodside,Private room,0.23191061437913785,107,68.33644859813084,4.689532710280374
