support_priority_rank,listing_id,name,neighbourhood_cleansed,borough,room_type,minimum_nights,price,peer_median_price,price_gap_pct,available_days,total_days,vacancy_rate,support_reason
97,905070033065803206,Triumphant Home Host,Jamaica,Queens,Private room,30,227.0,111.0,1.045,365,365,1.0,Strict 30+ night minimum AND price 105% above peer median; 100% vacant.
98,644311938371273827,Apt w/ Private Garden in Brooklyn. Kid Friendly.,Clinton Hill,Brooklyn,Entire home/apt,30,366.0,180.0,1.0333,365,365,1.0,Strict 30+ night minimum AND price 103% above peer median; 100% vacant.
99,1423376348165102006,Times Square Rooftop Terrace 1BR Luxe Bath SafeBld,Theater District,Manhattan,Entire home/apt,30,366.0,180.0,1.0333,365,365,1.0,Strict 30+ night minimum AND price 103% above peer median; 100% vacant.
100,1476941971441847969,Modern Apartment In Queens NY,East Elmhurst,Queens,Entire home/apt,30,366.0,180.0,1.0333,365,365,1.0,Strict 30+ night minimum AND price 103% above peer median; 100% vacant.
101,50381056,BEAUTIFUL MODERN SUNLIGHT KISSED HOME IN BROOKLYN,East New York,Brooklyn,Entire home/apt,30,365.0,180.0,1.0278,365,365,1.0,Strict 30+ night minimum AND price 103% above peer median; 100% vacant.
102,576217808263109182,Cozy 2 bedroom 15 mins to LGA & Times Square!,Ditmars Steinway,Queens,Entire home/apt,30,365.0,180.0,1.0278,365,365,1.0,Strict 30+ night minimum AND price 103% above peer median; 100% vacant.
103,545261,Clinton Hill Lux Apt Grill & Lawn,Clinton Hill,Brooklyn,Private room,30,225.0,111.0,1.027,365,365,1.0,Strict 30+ night minimum AND price 103% above peer median; 100% vacant.
104,935522748480485575,Stunning Modern Apartment,Upper West Side,Manhattan,Entire home/apt,30,360.0,180.0,1.0,365,365,1.0,Strict 30+ night minimum AND price 100% above peer median; 100% vacant.
105,1209762126227348383,1 bdr apartment in Manhattan,Kips Bay,Manhattan,Entire home/apt,30,360.0,180.0,1.0,365,365,1.0,Strict 30+ night minimum AND price 100% above peer median; 100% vacant.
106,735631763810679610,Moon Studio,Greenpoint,Brooklyn,Entire home/apt,30,359.0,180.0,0.9944,365,365,1.0,Strict 30+ night minimum AND price 99% above peer median; 100% vacant.
107,19379952,Penthouse with doorman & private outdoor patio,East Village,Manhattan,Entire home/apt,30,355.0,180.0,0.9722,365,365,1.0,Strict 30+ night minimum AND price 97% above peer median; 100% vacant.
108,794071520594124768,Private Studio in Brownstone,Harlem,Manhattan,Entire home/apt,30,355.0,180.0,0.9722,365,365,1.0,Strict 30+ night minimum AND price 97% above peer median; 100% vacant.
109,39630152,Luxurious oasis in upscale crown heights,Crown Heights,Brooklyn,Entire home/apt,30,353.0,180.0,0.9611,365,365,1.0,Strict 30+ night minimum AND price 96% above peer median; 100% vacant.
110,276021,Entire Luxury 2br/2ba in Prime Williamsburg!,Williamsburg,Brooklyn,Entire home/apt,180,352.0,180.0,0.9556,365,365,1.0,Strict 180+ night minimum AND price 96% above peer median; 100% vacant.
111,16158343,Cheerful 3-bedroom villa w/ parking & patio,East Flatbush,Brooklyn,Entire home/apt,30,351.0,180.0,0.95,365,365,1.0,Strict 30+ night minimum AND price 95% above peer median; 100% vacant.
112,41157920,Lux W Chelsea/Hudson yards,Chelsea,Manhattan,Entire home/apt,60,350.0,180.0,0.9444,365,365,1.0,Strict 60+ night minimum AND price 94% above peer median; 100% vacant.
113,1036276150421118929,2-Bedroom Apartment in Manhattan,Hell's Kitchen,Manhattan,Entire home/apt,30,350.0,180.0,0.9444,365,365,1.0,Strict 30+ night minimum AND price 94% above peer median; 100% vacant.
114,791539646807027059,The studio in the heights,Washington Heights,Manhattan,Private room,30,215.0,111.0,0.9369,365,365,1.0,Strict 30+ night minimum AND price 94% above peer median; 100% vacant.
115,1520646116462002346,2BR/2BA in Full-Service Wall Street Building,Financial District,Manhattan,Entire home/apt,30,348.0,180.0,0.9333,365,365,1.0,Strict 30+ night minimum AND price 93% above peer median; 100% vacant.
116,997434971292281828,Modern 2-Bedroom apt by ocean,Brighton Beach,Brooklyn,Private room,30,213.0,111.0,0.9189,365,365,1.0,Strict 30+ night minimum AND price 92% above peer median; 100% vacant.
117,904968514528702932,Dreamy Beachfront 3Bd/2Ba House,Arverne,Queens,Entire home/apt,30,341.0,180.0,0.8944,365,365,1.0,Strict 30+ night minimum AND price 89% above peer median; 100% vacant.
118,725482656106188093,Gorgeous ! Amazing! Rasta palace ….,Bedford-Stuyvesant,Brooklyn,Entire home/apt,30,340.0,180.0,0.8889,365,365,1.0,Strict 30+ night minimum AND price 89% above peer median; 100% vacant.
119,1521274508682171456,Spacious&SUNNY Townhouse,Ozone Park,Queens,Private room,30,207.0,111.0,0.8649,365,365,1.0,Strict 30+ night minimum AND price 86% above peer median; 100% vacant.
120,1354692062527041556,"Times sq, perfectly located",Hell's Kitchen,Manhattan,Private room,30,206.0,111.0,0.8559,365,365,1.0,Strict 30+ night minimum AND price 86% above peer median; 100% vacant.
121,39535241,Sunny Urban Desert Oasis 10 Mins to NYC w Rooftop,Williamsburg,Brooklyn,Entire home/apt,300,333.0,180.0,0.85,365,365,1.0,Strict 300+ night minimum AND price 85% above peer median; 100% vacant.
122,27672277,"Bay Ridge, Vista Place",Bay Ridge,Brooklyn,Entire home/apt,30,331.0,180.0,0.8389,365,365,1.0,Strict 30+ night minimum AND price 84% above peer median; 100% vacant.
123,1447015985365726752,Prime Studio on Iconic St Marks,East Village,Manhattan,Entire home/apt,30,331.0,180.0,0.8389,365,365,1.0,Strict 30+ night minimum AND price 84% above peer median; 100% vacant.
