borough,room_type,minimum_nights_group,price_setting_group,q1,median,q3,whisker_low,whisker_high,sample_size,baseline_median_vacancy,vacancy_lift_pp
Queens,Entire home/apt,3-6 nights,High fixed price,0.683562,0.731507,0.876712,0.393836,1.0,7,0.686301,4.52
Queens,Entire home/apt,3-6 nights,Normal/lower fixed price,0.361644,0.613699,0.816438,0.0,1.0,25,0.686301,-7.26
Queens,Entire home/apt,30+ nights,High fixed price,0.690411,0.90411,0.99726,0.230137,1.0,114,0.686301,21.78
Queens,Entire home/apt,30+ nights,Normal/lower fixed price,0.490411,0.739726,0.994521,0.0,1.0,503,0.686301,5.34
Queens,Private room,1-2 nights,High fixed price,0.578082,0.836986,0.929452,0.051027,1.0,64,0.731507,10.55
Queens,Private room,1-2 nights,Normal/lower fixed price,0.349315,0.731507,0.897945,0.0,1.0,102,0.731507,0.0
Queens,Private room,3-6 nights,High fixed price,0.649315,0.917808,0.956849,0.188014,1.0,28,0.731507,18.63
Queens,Private room,3-6 nights,Normal/lower fixed price,0.136986,0.378082,0.710959,0.0,1.0,35,0.731507,-35.34
Queens,Private room,30+ nights,High fixed price,0.736301,0.99726,1.0,0.340753,1.0,64,0.731507,26.58
Queens,Private room,30+ nights,Normal/lower fixed price,0.487671,0.832877,0.99726,0.0,1.0,377,0.731507,10.14
Queens,Private room,7-29 nights,High fixed price,0.250685,0.427397,0.683562,0.0,1.0,3,0.731507,-30.41
Queens,Private room,7-29 nights,Normal/lower fixed price,0.436986,0.624658,0.649315,0.118493,0.967808,3,0.731507,-10.68
Queens,Shared room,1-2 nights,High fixed price,0.427397,0.427397,0.427397,0.427397,0.427397,1,0.739726,-31.23
Queens,Shared room,1-2 nights,Normal/lower fixed price,0.70137,0.739726,0.812329,0.534932,0.978767,3,0.739726,0.0
Queens,Shared room,3-6 nights,Normal/lower fixed price,0.517808,0.517808,0.517808,0.517808,0.517808,1,0.739726,-22.19
Queens,Shared room,30+ nights,High fixed price,0.254795,1.0,1.0,0.0,1.0,5,0.739726,26.03
Queens,Shared room,30+ nights,Normal/lower fixed price,0.246575,0.731507,0.912329,0.0,1.0,9,0.739726,-0.82
