review_year,month_num,month_label,listing_id,name,room_type,neighbourhood_cleansed,review_count,review_scores_rating,price,number_of_reviews_ltm
2020,10,Oct,33835470,"private room/Brooklyn,access tothe balcony&rooftop",Private room,Bedford-Stuyvesant,12,4.61,,1.0
2020,10,Oct,33833257,Huge Room   30 Min To Manhattan,Private room,Bedford-Stuyvesant,12,4.59,,0.0
2020,10,Oct,32284910,"Nice 1-Room near LGA, Citi Field, Manhattan",Private room,East Elmhurst,11,4.82,60.0,0.0
2020,10,Oct,35154803,Luxury City Suites Steps from Central Park,Private room,Midtown,11,4.58,339.0,13.0
2020,10,Oct,39861059,"Hotel 32 32, Queen Premier with Balcony",Private room,Midtown,11,4.29,384.0,27.0
2020,11,Nov,34072160,Queen Room,Hotel room,Midtown,40,4.6,,0.0
2020,11,Nov,34071962,King Room Sky,Hotel room,Midtown,31,4.6,,1.0
2020,11,Nov,37122502,Amazing Micro Unit W/ communal rooftop and kitchen,Private room,East Village,31,4.54,279.0,29.0
2020,11,Nov,37122162,Beautiful Standard Full Room at The Ridge,Private room,Lower East Side,25,4.42,238.0,24.0
2020,11,Nov,36998345,Spacious Sunny Loft in Brooklyn,Entire home/apt,Williamsburg,18,4.98,180.0,6.0
2020,11,Nov,34071699,City Queen – Terrace,Hotel room,SoHo,17,4.45,,0.0
2020,11,Nov,35545595,Georgian Studio in the Heart of Chelsea,Private room,Chelsea,17,4.38,275.0,81.0
2020,11,Nov,32284910,"Nice 1-Room near LGA, Citi Field, Manhattan",Private room,East Elmhurst,15,4.82,60.0,0.0
2020,11,Nov,39537097,"Cozy Private studio in Astoria, 20 min to Manhatta",Entire home/apt,Ditmars Steinway,13,4.87,90.0,4.0
2020,11,Nov,33854066,«Birdman»Private room acces to the balcony&rooftop,Private room,Bedford-Stuyvesant,13,4.82,,1.0
2020,11,Nov,24267706,♥Sunshine of the Spotless Mind room♥,Private room,Bedford-Stuyvesant,13,4.76,,5.0
2020,11,Nov,36900144,Premium Home | Outdoor Spaces | Manhattan 30 Min,Entire home/apt,Bedford-Stuyvesant,12,4.88,199.0,6.0
2020,11,Nov,41900007,Elegant 1 bedroom Apt. for rent - NYC Apartmentà,Entire home/apt,Harlem,12,4.48,149.0,0.0
2020,11,Nov,38480777,Sonder at One Platt | Spacious 2BR Apt,Entire home/apt,Financial District,12,4.39,827.0,18.0
2020,11,Nov,27598707,Freehand New York - Solo Room,Private room,Flatiron District,12,4.38,,0.0
2020,11,Nov,35713334,2 Beds close to Central Park,Private room,Midtown,12,4.21,460.0,27.0
2020,11,Nov,20970822,Pet & Tony's Residence,Entire home/apt,East Flatbush,11,4.93,100.0,0.0
2020,11,Nov,27714862,"Spacious, Private Oasis in Historic Brownstone",Entire home/apt,Bedford-Stuyvesant,11,4.92,126.0,0.0
2020,11,Nov,36601571,"Sohotel, Premium King",Private room,Little Italy,11,4.72,,0.0
